"Project","Folder","File","Num of Files","Wordcount","Num of Dlg","Untranslated","Need Review","Approved","Failed","Do not translate","ICE match","100% match","Fuzzy match",
"koniec",,,172,259053,0,998,0,258055,0,0,0,0,596,258457
,"\lcn",,82,121771,0,998,0,120773,0,0,0,0,596,121175
,"\lcn","apparmor-parser.pl.po",484,0,0,0,484,0,0,0,0,0,484,
,"\lcn","apparmor-utils.pl.po",978,0,0,0,978,0,0,0,0,0,978,
,"\lcn","banshee.pl.po",4635,0,0,0,4635,0,0,0,0,0,4635,
,"\lcn","beagle.pl.po",1283,0,0,0,1283,0,0,0,0,0,1283,
,"\lcn","bootloader.pl.po",208,0,0,0,208,0,0,0,0,0,208,
,"\lcn","CheckHardware.pl.po",66,0,0,0,66,0,0,0,0,0,66,
,"\lcn","compiz.pl.po",1420,0,0,0,1420,0,0,0,0,0,1420,
,"\lcn","control-center2.pl.po",3536,0,0,0,3536,0,0,0,0,0,3536,
,"\lcn","cracklib.pl.po",94,0,0,0,94,0,0,0,0,0,94,
,"\lcn","cryptconfig.pl.po",866,0,0,0,866,0,0,0,0,0,866,
,"\lcn","eiciel.pl.po",147,0,0,0,147,0,0,0,0,0,147,
,"\lcn","evolution-2.6.pl.po",18629,0,0,0,18629,0,0,0,0,0,18629,
,"\lcn","evolution-data-server-1.6.pl.po",4394,0,0,0,4394,0,0,0,0,0,4394,
,"\lcn","evolution-exchange-2.6.pl.po",1286,0,0,0,1286,0,0,0,0,0,1286,
,"\lcn","evolution-webcal.pl.po",176,0,0,0,176,0,0,0,0,0,176,
,"\lcn","f-spot.pl.po",2524,0,0,0,2524,0,0,0,0,0,2524,
,"\lcn","gaim.pl.po",10717,0,998,0,9719,0,0,0,0,596,10121,
,"\lcn","gnome-cups-manager.pl.po",431,0,0,0,431,0,0,0,0,0,431,
,"\lcn","gnome-main-menu.pl.po",1036,0,0,0,1036,0,0,0,0,0,1036,
,"\lcn","gnome-panel.pl.po",4017,0,0,0,4017,0,0,0,0,0,4017,
,"\lcn","gnome-patch-translation.pl.po",2714,0,0,0,2714,0,0,0,0,0,2714,
,"\lcn","gnome-power-manager.pl.po",1327,0,0,0,1327,0,0,0,0,0,1327,
,"\lcn","gnome-screensaver.pl.po",1078,0,0,0,1078,0,0,0,0,0,1078,
,"\lcn","gnome-utils-2.0.pl.po",2568,0,0,0,2568,0,0,0,0,0,2568,
,"\lcn","hal.pl.po",164,0,0,0,164,0,0,0,0,0,164,
,"\lcn","html-help-boot.pl.po",579,0,0,0,579,0,0,0,0,0,579,
,"\lcn","html-help-install.pl.po",1957,0,0,0,1957,0,0,0,0,0,1957,
,"\lcn","kcmbeagle.pl.po",219,0,0,0,219,0,0,0,0,0,219,
,"\lcn","kerry.pl.po",492,0,0,0,492,0,0,0,0,0,492,
,"\lcn","kfiledialog.pl.po",36,0,0,0,36,0,0,0,0,0,36,
,"\lcn","kinternet.pl.po",700,0,0,0,700,0,0,0,0,0,700,
,"\lcn","kio_sysinfo.pl.po",135,0,0,0,135,0,0,0,0,0,135,
,"\lcn","kpowersave.pl.po",1489,0,0,0,1489,0,0,0,0,0,1489,
,"\lcn","krpmview.pl.po",36,0,0,0,36,0,0,0,0,0,36,
,"\lcn","kryptomedia.pl.po",44,0,0,0,44,0,0,0,0,0,44,
,"\lcn","kwin_SUSE2.pl.po",359,0,0,0,359,0,0,0,0,0,359,
,"\lcn","libgnomedb-3.pl.po",2878,0,0,0,2878,0,0,0,0,0,2878,
,"\lcn","libgnomesu.pl.po",133,0,0,0,133,0,0,0,0,0,133,
,"\lcn","libssui.pl.po",82,0,0,0,82,0,0,0,0,0,82,
,"\lcn","limal.pl.po",340,0,0,0,340,0,0,0,0,0,340,
,"\lcn","limal-apparmor-control.pl.po",7,0,0,0,7,0,0,0,0,0,7,
,"\lcn","limal-ca-mgm.pl.po",869,0,0,0,869,0,0,0,0,0,869,
,"\lcn","limal-nfs-server.pl.po",329,0,0,0,329,0,0,0,0,0,329,
,"\lcn","limal-runlevel.pl.po",70,0,0,0,70,0,0,0,0,0,70,
,"\lcn","linphone.pl.po",705,0,0,0,705,0,0,0,0,0,705,
,"\lcn","linuxrc.pl.po",1346,0,0,0,1346,0,0,0,0,0,1346,
,"\lcn","login.pl.po",305,0,0,0,305,0,0,0,0,0,305,
,"\lcn","nautilus-open-terminal.pl.po",24,0,0,0,24,0,0,0,0,0,24,
,"\lcn","nautilus-sendto.pl.po",54,0,0,0,54,0,0,0,0,0,54,
,"\lcn","nautilus-share.pl.po",198,0,0,0,198,0,0,0,0,0,198,
,"\lcn","NetworkManager.pl.po",985,0,0,0,985,0,0,0,0,0,985,
,"\lcn","NetworkManager-novellvpn.pl.po",240,0,0,0,240,0,0,0,0,0,240,
,"\lcn","NetworkManager-openvpn.pl.po",373,0,0,0,373,0,0,0,0,0,373,
,"\lcn","NetworkManager-vpnc.pl.po",298,0,0,0,298,0,0,0,0,0,298,
,"\lcn","pam_pwcheck.pl.po",128,0,0,0,128,0,0,0,0,0,128,
,"\lcn","pam_unix2.pl.po",356,0,0,0,356,0,0,0,0,0,356,
,"\lcn","patterns-sled.pl.po",389,0,0,0,389,0,0,0,0,0,389,
,"\lcn","patterns-sles.pl.po",795,0,0,0,795,0,0,0,0,0,795,
,"\lcn","power-management.pl.po",1739,0,0,0,1739,0,0,0,0,0,1739,
,"\lcn","profile_chooser.pl.po",201,0,0,0,201,0,0,0,0,0,201,
,"\lcn","RELEASE-NOTES-sled.pl.po",409,0,0,0,409,0,0,0,0,0,409,
,"\lcn","resapplet.pl.po",137,0,0,0,137,0,0,0,0,0,137,
,"\lcn","rug.pl.po",1336,0,0,0,1336,0,0,0,0,0,1336,
,"\lcn","sabayon.pl.po",801,0,0,0,801,0,0,0,0,0,801,
,"\lcn","sax.pl.po",1327,0,0,0,1327,0,0,0,0,0,1327,
,"\lcn","scpm_cli.pl.po",1311,0,0,0,1311,0,0,0,0,0,1311,
,"\lcn","scpm_groups.pl.po",89,0,0,0,89,0,0,0,0,0,89,
,"\lcn","scpm_lib.pl.po",875,0,0,0,875,0,0,0,0,0,875,
,"\lcn","slideshow-sled.pl.po",1040,0,0,0,1040,0,0,0,0,0,1040,
,"\lcn","sumf.pl.po",446,0,0,0,446,0,0,0,0,0,446,
,"\lcn","suseplugger.pl.po",101,0,0,0,101,0,0,0,0,0,101,
,"\lcn","susetranslations.pl.po",1664,0,0,0,1664,0,0,0,0,0,1664,
,"\lcn","tomboy.pl.po",1521,0,0,0,1521,0,0,0,0,0,1521,
,"\lcn","update-desktop-files.pl.po",19454,0,0,0,19454,0,0,0,0,0,19454,
,"\lcn","vmx-manager.pl.po",447,0,0,0,447,0,0,0,0,0,447,
,"\lcn","xen-vm-install.pl.po",1112,0,0,0,1112,0,0,0,0,0,1112,
,"\lcn","xgl-settings.pl.po",878,0,0,0,878,0,0,0,0,0,878,
,"\lcn","ximian-artwork.pl.po",44,0,0,0,44,0,0,0,0,0,44,
,"\lcn","zen-updater.pl.po",890,0,0,0,890,0,0,0,0,0,890,
,"\lcn","zmd.pl.po",924,0,0,0,924,0,0,0,0,0,924,
,"\lcn","zypp.pl.po",2048,0,0,0,2048,0,0,0,0,0,2048,
,"\lcn","zypper.pl.po",1249,0,0,0,1249,0,0,0,0,0,1249,
,"\yast",90,,137282,0,0,0,137282,0,0,0,0,0,137282
,"\yast","add-on-creator.pl.po",2511,0,0,0,2511,0,0,0,0,0,2511,
,"\yast","autoinst.pl.po",2726,0,0,0,2726,0,0,0,0,0,2726,
,"\yast","backup.pl.po",2071,0,0,0,2071,0,0,0,0,0,2071,
,"\yast","base.pl.po",2453,0,0,0,2453,0,0,0,0,0,2453,
,"\yast","bluetooth.pl.po",734,0,0,0,734,0,0,0,0,0,734,
,"\yast","bootloader.pl.po",3913,0,0,0,3913,0,0,0,0,0,3913,
,"\yast","ca-management.pl.po",2679,0,0,0,2679,0,0,0,0,0,2679,
,"\yast","CASA.pl.po",374,0,0,0,374,0,0,0,0,0,374,
,"\yast","cd-creator.pl.po",904,0,0,0,904,0,0,0,0,0,904,
,"\yast","certify.pl.po",1000,0,0,0,1000,0,0,0,0,0,1000,
,"\yast","control.pl.po",180,0,0,0,180,0,0,0,0,0,180,
,"\yast","control-center.pl.po",198,0,0,0,198,0,0,0,0,0,198,
,"\yast","country.pl.po",1199,0,0,0,1199,0,0,0,0,0,1199,
,"\yast","dhcp-server.pl.po",3673,0,0,0,3673,0,0,0,0,0,3673,
,"\yast","dns-server.pl.po",4016,0,0,0,4016,0,0,0,0,0,4016,
,"\yast","firewall.pl.po",1863,0,0,0,1863,0,0,0,0,0,1863,
,"\yast","firstboot.pl.po",270,0,0,0,270,0,0,0,0,0,270,
,"\yast","heartbeat.pl.po",1636,0,0,0,1636,0,0,0,0,0,1636,
,"\yast","http-server.pl.po",2596,0,0,0,2596,0,0,0,0,0,2596,
,"\yast","inetd.pl.po",922,0,0,0,922,0,0,0,0,0,922,
,"\yast","installation.pl.po",2135,0,0,0,2135,0,0,0,0,0,2135,
,"\yast","instserver.pl.po",1030,0,0,0,1030,0,0,0,0,0,1030,
,"\yast","ipsec.pl.po",1990,0,0,0,1990,0,0,0,0,0,1990,
,"\yast","irda.pl.po",176,0,0,0,176,0,0,0,0,0,176,
,"\yast","iscsi-client.pl.po",700,0,0,0,700,0,0,0,0,0,700,
,"\yast","iscsi-server.pl.po",680,0,0,0,680,0,0,0,0,0,680,
,"\yast","isns.pl.po",604,0,0,0,604,0,0,0,0,0,604,
,"\yast","iso-countries.pl.po",356,0,0,0,356,0,0,0,0,0,356,
,"\yast","iso-languages.pl.po",616,0,0,0,616,0,0,0,0,0,616,
,"\yast","kdump.pl.po",1510,0,0,0,1510,0,0,0,0,0,1510,
,"\yast","kerberos.pl.po",576,0,0,0,576,0,0,0,0,0,576,
,"\yast","kernel-update-tool.pl.po",12,0,0,0,12,0,0,0,0,0,12,
,"\yast","languages_db.pl.po",53,0,0,0,53,0,0,0,0,0,53,
,"\yast","ldap-client.pl.po",2119,0,0,0,2119,0,0,0,0,0,2119,
,"\yast","ldap-server.pl.po",1669,0,0,0,1669,0,0,0,0,0,1669,
,"\yast","linux-user-mgmt.pl.po",1048,0,0,0,1048,0,0,0,0,0,1048,
,"\yast","mail.pl.po",946,0,0,0,946,0,0,0,0,0,946,
,"\yast","MailServer.pl.po",1406,0,0,0,1406,0,0,0,0,0,1406,
,"\yast","mouse.pl.po",209,0,0,0,209,0,0,0,0,0,209,
,"\yast","network.pl.po",9354,0,0,0,9354,0,0,0,0,0,9354,
,"\yast","nfs.pl.po",361,0,0,0,361,0,0,0,0,0,361,
,"\yast","nfs_server.pl.po",666,0,0,0,666,0,0,0,0,0,666,
,"\yast","nis.pl.po",596,0,0,0,596,0,0,0,0,0,596,
,"\yast","nis_server.pl.po",1002,0,0,0,1002,0,0,0,0,0,1002,
,"\yast","ntp-client.pl.po",1767,0,0,0,1767,0,0,0,0,0,1767,
,"\yast","online-update.pl.po",792,0,0,0,792,0,0,0,0,0,792,
,"\yast","packagemanager.pl.po",698,0,0,0,698,0,0,0,0,0,698,
,"\yast","packager.pl.po",3467,0,0,0,3467,0,0,0,0,0,3467,
,"\yast","packages.pl.po",1694,0,0,0,1694,0,0,0,0,0,1694,
,"\yast","packages-qt.pl.po",1742,0,0,0,1742,0,0,0,0,0,1742,
,"\yast","pam.pl.po",11,0,0,0,11,0,0,0,0,0,11,
,"\yast","phone-services.pl.po",527,0,0,0,527,0,0,0,0,0,527,
,"\yast","pkg-bindings.pl.po",6,0,0,0,6,0,0,0,0,0,6,
,"\yast","power-management.pl.po",1655,0,0,0,1655,0,0,0,0,0,1655,
,"\yast","printer.pl.po",6148,0,0,0,6148,0,0,0,0,0,6148,
,"\yast","product-creator.pl.po",2424,0,0,0,2424,0,0,0,0,0,2424,
,"\yast","profile-manager.pl.po",991,0,0,0,991,0,0,0,0,0,991,
,"\yast","qt-packages.pl.po",1,0,0,0,1,0,0,0,0,0,1,
,"\yast","registration.pl.po",668,0,0,0,668,0,0,0,0,0,668,
,"\yast","repair.pl.po",6144,0,0,0,6144,0,0,0,0,0,6144,
,"\yast","restore.pl.po",1190,0,0,0,1190,0,0,0,0,0,1190,
,"\yast","rpm-groups.pl.po",202,0,0,0,202,0,0,0,0,0,202,
,"\yast","runlevel.pl.po",1061,0,0,0,1061,0,0,0,0,0,1061,
,"\yast","s390.pl.po",956,0,0,0,956,0,0,0,0,0,956,
,"\yast","samba-client.pl.po",1017,0,0,0,1017,0,0,0,0,0,1017,
,"\yast","samba-server.pl.po",2269,0,0,0,2269,0,0,0,0,0,2269,
,"\yast","samba-users.pl.po",182,0,0,0,182,0,0,0,0,0,182,
,"\yast","scanner.pl.po",2528,0,0,0,2528,0,0,0,0,0,2528,
,"\yast","security.pl.po",1549,0,0,0,1549,0,0,0,0,0,1549,
,"\yast","slepos-installation.pl.po",444,0,0,0,444,0,0,0,0,0,444,
,"\yast","slepos-system-manager.pl.po",912,0,0,0,912,0,0,0,0,0,912,
,"\yast","slp.pl.po",8,0,0,0,8,0,0,0,0,0,8,
,"\yast","slp-server.pl.po",602,0,0,0,602,0,0,0,0,0,602,
,"\yast","sound.pl.po",1762,0,0,0,1762,0,0,0,0,0,1762,
,"\yast","sound_db.pl.po",700,0,0,0,700,0,0,0,0,0,700,
,"\yast","storage.pl.po",9949,0,0,0,9949,0,0,0,0,0,9949,
,"\yast","support.pl.po",290,0,0,0,290,0,0,0,0,0,290,
,"\yast","sysconfig.pl.po",706,0,0,0,706,0,0,0,0,0,706,
,"\yast","tftp-server.pl.po",182,0,0,0,182,0,0,0,0,0,182,
,"\yast","timezone_db.pl.po",300,0,0,0,300,0,0,0,0,0,300,
,"\yast","tune.pl.po",1382,0,0,0,1382,0,0,0,0,0,1382,
,"\yast","tv.pl.po",1428,0,0,0,1428,0,0,0,0,0,1428,
,"\yast","update.pl.po",826,0,0,0,826,0,0,0,0,0,826,
,"\yast","users.pl.po",5162,0,0,0,5162,0,0,0,0,0,5162,
,"\yast","vm.pl.po",182,0,0,0,182,0,0,0,0,0,182,
,"\yast","wol.pl.po",84,0,0,0,84,0,0,0,0,0,84,
,"\yast","x11.pl.po",409,0,0,0,409,0,0,0,0,0,409,
,"\yast","xpram.pl.po",150,0,0,0,150,0,0,0,0,0,150,
,"\yast","yast2-apparmor.pl.po",6065,0,0,0,6065,0,0,0,0,0,6065,
,"\yast","you-server.pl.po",318,0,0,0,318,0,0,0,0,0,318,
